full_name,sport_name,current_club_name,club_division_level,notes
Luiz Gustavo Dias,Luiz Gustavo,Athletico-PR,1,CBF Serie A 2026 roster
Aderbar Melo dos Santos Neto,Santos,Athletico-PR,1,CBF Serie A 2026 roster
Jadson Alves dos Santos,Jadson,Athletico-PR,1,CBF Serie A 2026 roster
Leonardo Pinheiro da Conceicao,Leo,Athletico-PR,1,CBF Serie A 2026 roster
Leonardo Caetano Silva,Leozinho,Athletico-PR,1,CBF Serie A 2026 roster
John Steven Mendoza Valencia,Mendoza,Athletico-PR,1,CBF Serie A 2026 roster
Renan Peixoto Nepomuceno,Renan,Athletico-PR,1,CBF Serie A 2026 roster
Julimar Silva Oliveira Junior,Julimar,Athletico-PR,1,CBF Serie A 2026 roster
Antonio Feliphe Costa Silva,Felipinho,Athletico-PR,1,CBF Serie A 2026 roster
Matheus Soares Rocha,Matheus Soares,Athletico-PR,1,CBF Serie A 2026 roster
Givanildo Vieira de Sousa,Hulk,Atletico-MG,1,CBF Serie A 2026 roster
Ivan Ramiro Roman Hurtado,Roman Hurtado,Atletico-MG,1,CBF Serie A 2026 roster
Renan Augusto Lodi dos Santos,Renan Lodi,Atletico-MG,1,CBF Serie A 2026 roster
Everson Felipe Marques Pires,Everson,Atletico-MG,1,CBF Serie A 2026 roster
Junior Osmar Ignacio Alonso Mujica,Junior Alonso,Atletico-MG,1,CBF Serie A 2026 roster
Angelo Smit Preciado Quinonez,Angelo Preciado,Atletico-MG,1,CBF Serie A 2026 roster
Caua Campos Soares,Caua,Atletico-MG,1,CBF Serie A 2026 roster
Eduardo Pereira Rodrigues,Dudu,Atletico-MG,1,CBF Serie A 2026 roster
Samuel Lima Barros,Samuel,Atletico-MG,1,CBF Serie A 2026 roster
Pedro Cobra Rodrigues,Pedro Cobra,Atletico-MG,1,CBF Serie A 2026 roster
Ademir da Silva Santos Junior,Ademir,Bahia,1,CBF Serie A 2026 roster
David de Duarte Macedo,David Duarte,Bahia,1,CBF Serie A 2026 roster
Caio Suassuna Goncalves Ferreira,Suassuna,Bahia,1,CBF Serie A 2026 roster
Nicolas Brian Acevedo Tabarez,Acevedo,Bahia,1,CBF Serie A 2026 roster
Kaue Junior Furquim da Silva,Kaue Furquim,Bahia,1,CBF Serie A 2026 roster
Santiago Martin Ramos Mingo,Ramos Mingo,Bahia,1,CBF Serie A 2026 roster
Gabriel Lheman Xavier,Gabriel Xavier,Bahia,1,CBF Serie A 2026 roster
Roman Agustin Gomez,Gomez,Bahia,1,CBF Serie A 2026 roster
Erick Luis Conrado Carvalho,Erick,Bahia,1,CBF Serie A 2026 roster
David Martins Almeida de Lira,David Martins,Bahia,1,CBF Serie A 2026 roster
Kauan Almeida Toledo,Kauan,Botafogo,1,CBF Serie A 2026 roster
Arthur Izaque Bendayan de Castro Silva,Arthur,Botafogo,1,CBF Serie A 2026 roster
Nathan Ribeiro Fernandes,Nathan Fernandes,Botafogo,1,CBF Serie A 2026 roster
Gabriel Pereira Justino,GABRIEL,Botafogo,1,CBF Serie A 2026 roster
Newton Araujo da Costa Junior,Newton,Botafogo,1,CBF Serie A 2026 roster
Cristhian Joel Loor Santamaria,Cristhian Loor,Botafogo,1,CBF Serie A 2026 roster
Fernando Marcal de Oliveira,Marcal,Botafogo,1,CBF Serie A 2026 roster
Arthur Mendonca Cabral,Arthur,Botafogo,1,CBF Serie A 2026 roster
Jhoan Hernandez Mejia,Jhoan Hernandez,Botafogo,1,CBF Serie A 2026 roster
Victor Hugo Custodio de Melo Moura,Huguinho,Botafogo,1,CBF Serie A 2026 roster
Bolasie Yala,Bolasie,Chapecoense,1,CBF Serie A 2026 roster
Vinicius Balieiro Lourenco de Carvalho,Vinicius Balieiro,Chapecoense,1,CBF Serie A 2026 roster
Wellington Felipe Pradeiczuk,Wellington,Chapecoense,1,CBF Serie A 2026 roster
Bruno de Jesus Pacheco,Bruno Pacheco,Chapecoense,1,CBF Serie A 2026 roster
Camilo Reijers de Oliveira,Camilo,Chapecoense,1,CBF Serie A 2026 roster
Bruno Matias dos Santos,Bruno,Chapecoense,1,CBF Serie A 2026 roster
Joao Vitor de Souza Martins,Joao Vitor,Chapecoense,1,CBF Serie A 2026 roster
Marcio Antonio de Sousa Junior,Marcinho,Chapecoense,1,CBF Serie A 2026 roster
Higor Matheus Meritao,Higor,Chapecoense,1,CBF Serie A 2026 roster
Walter David Clar Fritz,Walter Clar,Chapecoense,1,CBF Serie A 2026 roster
Diego da Cruz Lopes,Diego,Corinthians,1,CBF Serie A 2026 roster
Matheus Pereira da Silva,Matheus,Corinthians,1,CBF Serie A 2026 roster
Kaue Vinicius de Souza Camargo,KAUE,Corinthians,1,CBF Serie A 2026 roster
Hugo Ferreira de Farias,Hugo,Corinthians,1,CBF Serie A 2026 roster
Charles Rigon Matos,Charles,Corinthians,1,CBF Serie A 2026 roster
Gabriel Armando de Abreu,Gabriel,Corinthians,1,CBF Serie A 2026 roster
Luiz Gustavo Lemos Carvalho Bahia,Bahia,Corinthians,1,CBF Serie A 2026 roster
Victor Vinicius Coelho Santos,Vitinho,Corinthians,1,CBF Serie A 2026 roster
Andre Martin Carrillo Diaz,Andre Carrillo,Corinthians,1,CBF Serie A 2026 roster
Pedro Raul Garay da Silva,Pedro Raul,Corinthians,1,CBF Serie A 2026 roster
Gustavo Silva de Oliveira,Gustavo Silva,Coritiba,1,CBF Serie A 2026 roster
Rodrigo Modesto da Silva Moledo,Rodrigo Moledo,Coritiba,1,CBF Serie A 2026 roster
David Alves Franca,David,Coritiba,1,CBF Serie A 2026 roster
Matheus Dalsasso Dias,Matheus Dias,Coritiba,1,CBF Serie A 2026 roster
Pedro Felipe de Faria Rangel,Pedro Rangel,Coritiba,1,CBF Serie A 2026 roster
