country_code,division_level,official_name,short_name,state,city,founded_year,badge_url,status,notes
ARG,1,Argentinos Juniors,Argentinos Juniors,,Buenos Aires,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Atletico Tucuman,Atletico Tucuman,,San Miguel de Tucuman,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Banfield,Banfield,,Banfield,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Barracas Central,Barracas Central,,Buenos Aires,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Belgrano,Belgrano,,Cordoba,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Boca Juniors,Boca Juniors,,Buenos Aires,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Central Cordoba,Central Cordoba,,Santiago del Estero,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Defensa y Justicia,Defensa y Justicia,,Florencio Varela,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Deportivo Riestra,Riestra,,Buenos Aires,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Estudiantes de La Plata,Estudiantes,,La Plata,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Gimnasia y Esgrima La Plata,Gimnasia LP,,La Plata,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Huracan,Huracan,,Buenos Aires,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Independiente,Independiente,,Avellaneda,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Independiente Rivadavia,Independiente Rivadavia,,Mendoza,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Instituto,Instituto,,Cordoba,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Lanus,Lanus,,Lanus,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Newell's Old Boys,Newells,,Rosario,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Platense,Platense,,Florida,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Racing Club,Racing Club,,Avellaneda,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,River Plate,River Plate,,Buenos Aires,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Rosario Central,Rosario Central,,Rosario,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,San Lorenzo,San Lorenzo,,Buenos Aires,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Sarmiento,Sarmiento,,Junin,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Talleres de Cordoba,Talleres,,Cordoba,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Tigre,Tigre,,Victoria,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Union de Santa Fe,Union,,Santa Fe,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Velez Sarsfield,Velez,,Buenos Aires,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Godoy Cruz,Godoy Cruz,,Mendoza,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,San Martin de San Juan,San Martin SJ,,San Juan,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
ARG,1,Aldosivi,Aldosivi,,Mar del Plata,,,active,Fonte principal LPF/AFA 2026 com consolidação em 2026-04-13
MEX,1,America,America,,Mexico City,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Atlas,Atlas,,Guadalajara,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Atletico de San Luis,Atletico San Luis,,San Luis Potosi,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Cruz Azul,Cruz Azul,,Mexico City,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,FC Juarez,Juarez,,Ciudad Juarez,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Guadalajara,Chivas,,Guadalajara,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Leon,Leon,,Leon,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Mazatlan FC,Mazatlan,,Mazatlan,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Monterrey,Monterrey,,Monterrey,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Necaxa,Necaxa,,Aguascalientes,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Pachuca,Pachuca,,Pachuca,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Puebla,Puebla,,Puebla,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Queretaro,Queretaro,,Queretaro,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Santos Laguna,Santos Laguna,,Torreon,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Tigres UANL,Tigres,,San Nicolas de los Garza,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Tijuana,Tijuana,,Tijuana,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Toluca,Toluca,,Toluca,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
MEX,1,Universidad Nacional,Pumas,,Mexico City,,,active,Fonte principal Liga MX 2025-2026 com consolidação em 2026-04-13
NLD,1,Ajax,Ajax,,Amsterdam,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,AZ,AZ,,Alkmaar,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,Excelsior,Excelsior,,Rotterdam,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,FC Groningen,Groningen,,Groningen,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,FC Twente,Twente,,Enschede,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,FC Utrecht,Utrecht,,Utrecht,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,Feyenoord,Feyenoord,,Rotterdam,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,Fortuna Sittard,Fortuna Sittard,,Sittard,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,Go Ahead Eagles,Go Ahead Eagles,,Deventer,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,Heerenveen,Heerenveen,,Heerenveen,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,Heracles Almelo,Heracles,,Almelo,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,NAC Breda,NAC Breda,,Breda,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,NEC Nijmegen,NEC,,Nijmegen,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,PSV,PSV,,Eindhoven,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,Sparta Rotterdam,Sparta Rotterdam,,Rotterdam,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,Telstar,Telstar,,Velsen,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,PEC Zwolle,PEC Zwolle,,Zwolle,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
NLD,1,SC Cambuur,Cambuur,,Leeuwarden,,,active,Fonte oficial Eredivisie 2025-2026 com consolidação em 2026-04-13
