country_code,division_level,official_name,short_name,state,city,founded_year,badge_url,status,notes
BRA,1,Clube Atletico Mineiro,Atletico-MG,Minas Gerais,Belo Horizonte,1908,,active,
BRA,1,Athletico Paranaense,Athletico-PR,Parana,Curitiba,1924,,active,
BRA,1,Esporte Clube Bahia,Bahia,Bahia,Salvador,1931,,active,
BRA,1,Botafogo de Futebol e Regatas,Botafogo,Rio de Janeiro,Rio de Janeiro,1904,,active,
BRA,1,Associacao Chapecoense de Futebol,Chapecoense,Santa Catarina,Chapeco,1973,,active,
BRA,1,Sport Club Corinthians Paulista,Corinthians,Sao Paulo,Sao Paulo,1910,,active,
BRA,1,Coritiba Foot Ball Club,Coritiba,Parana,Curitiba,1909,,active,
BRA,1,Cruzeiro Esporte Clube,Cruzeiro,Minas Gerais,Belo Horizonte,1921,,active,
BRA,1,Clube de Regatas do Flamengo,Flamengo,Rio de Janeiro,Rio de Janeiro,1895,,active,
BRA,1,Fluminense Football Club,Fluminense,Rio de Janeiro,Rio de Janeiro,1902,,active,
BRA,1,Gremio Foot-Ball Porto Alegrense,Gremio,Rio Grande do Sul,Porto Alegre,1903,,active,
BRA,1,Sport Club Internacional,Internacional,Rio Grande do Sul,Porto Alegre,1909,,active,
BRA,1,Mirassol Futebol Clube,Mirassol,Sao Paulo,Mirassol,1925,,active,
BRA,1,Sociedade Esportiva Palmeiras,Palmeiras,Sao Paulo,Sao Paulo,1914,,active,
BRA,1,Clube do Remo,Remo,Para,Belem,1905,,active,
BRA,1,Red Bull Bragantino,Bragantino,Sao Paulo,Braganca Paulista,1928,,active,
BRA,1,Santos Futebol Clube,Santos,Sao Paulo,Santos,1912,,active,
BRA,1,Sao Paulo Futebol Clube,Sao Paulo,Sao Paulo,Sao Paulo,1930,,active,
BRA,1,Club de Regatas Vasco da Gama,Vasco,Rio de Janeiro,Rio de Janeiro,1898,,active,
BRA,1,Esporte Clube Vitoria,Vitoria,Bahia,Salvador,1899,,active,
