country_code,division_level,official_name,short_name,state,city,founded_year,badge_url,status,notes
BRA,2,America Futebol Clube,America-MG,Minas Gerais,Belo Horizonte,1912,,active,
BRA,2,Associacao Atletica Ponte Preta,Ponte Preta,Sao Paulo,Campinas,1900,,active,
BRA,2,Athletic Club,Athletic,Minas Gerais,Sao Joao del Rei,1909,,active,
BRA,2,Avai Futebol Clube,Avai,Santa Catarina,Florianopolis,1923,,active,
BRA,2,Botafogo Futebol Clube,Botafogo-SP,Sao Paulo,Ribeirao Preto,1918,,active,
BRA,2,Ceara Sporting Club,Ceara,Ceara,Fortaleza,1914,,active,
BRA,2,Clube de Regatas Brasil,CRB,Alagoas,Maceio,1912,,active,
BRA,2,Criciuma Esporte Clube,Criciuma,Santa Catarina,Criciuma,1947,,active,
BRA,2,Cuiaba Esporte Clube,Cuiaba,Mato Grosso,Cuiaba,2001,,active,
BRA,2,Fortaleza Esporte Clube,Fortaleza,Ceara,Fortaleza,1918,,active,
BRA,2,Goias Esporte Clube,Goias,Goias,Goiania,1943,,active,
BRA,2,Esporte Clube Juventude,Juventude,Rio Grande do Sul,Caxias do Sul,1913,,active,
BRA,2,Londrina Esporte Clube,Londrina,Parana,Londrina,1956,,active,
BRA,2,Clube Nautico Capibaribe,Nautico,Pernambuco,Recife,1901,,active,
BRA,2,Operario Ferroviario Esporte Clube,Operario,Parana,Ponta Grossa,1912,,active,
BRA,2,Grêmio Novorizontino,Novorizontino,Sao Paulo,Novo Horizonte,2010,,active,
BRA,2,Sao Bernardo Futebol Clube,Sao Bernardo,Sao Paulo,Sao Bernardo do Campo,2004,,active,
BRA,2,Sport Club do Recife,Sport,Pernambuco,Recife,1905,,active,
BRA,2,Atletico Clube Goianiense,Atletico-GO,Goias,Goiania,1937,,active,
BRA,2,Vila Nova Futebol Clube,Vila Nova,Goias,Goiania,1943,,active,
