country_code,division_level,official_name,short_name,state,city,founded_year,badge_url,status,notes
BRA,4,Manaura,Manaura,,,,,active,
BRA,4,Manaus,Manaus,,,,,active,
BRA,4,Monte Roraima,Monte Roraima,,,,,active,
BRA,4,Nacional,Nacional,,,,,active,
BRA,4,Sampaio,Sampaio,,,,,active,
BRA,4,São Raimundo,São Raimundo,,,,,active,
BRA,4,Araguaiana,Araguaiana,,,,,active,
BRA,4,Galvez,Galvez,,,,,active,
BRA,4,Gazin Porto Velho,Gazin Porto Velho,,,,,active,
BRA,4,Guaporé,Guaporé,,,,,active,
BRA,4,Humaitá,Humaitá,,,,,active,
BRA,4,Independência,Independência,,,,,active,
BRA,4,Aparacidense,Aparacidense,,,,,active,
BRA,4,Brasiliense,Brasiliense,,,,,active,
BRA,4,Gama,Gama,,,,,active,
BRA,4,Inhumas EC,Inhumas EC,,,,,active,
BRA,4,Luverdense,Luverdense,,,,,active,
BRA,4,Primavera Atl. Clube,Primavera Atl. Clube,,,,,active,
BRA,4,Capital,Capital,,,,,active,
BRA,4,Ceilândia SAF,Ceilândia SAF,,,,,active,
BRA,4,Goiatuba,Goiatuba,,,,,active,
BRA,4,Mixto,Mixto,,,,,active,
BRA,4,Operário MT,Operário MT,,,,,active,
BRA,4,União,União,,,,,active,
BRA,4,Aguia de Marabá,Aguia de Marabá,,,,,active,
BRA,4,Imperatriz,Imperatriz,,,,,active,
BRA,4,Oratório,Oratório,,,,,active,
BRA,4,Tocantinópolis,Tocantinópolis,,,,,active,
BRA,4,Trem,Trem,,,,,active,
BRA,4,Tunaluso,Tunaluso,,,,,active,
BRA,4,Iape,Iape,,,,,active,
BRA,4,Iguatu,Iguatu,,,,,active,
BRA,4,Maracanã,Maracanã,,,,,active,
BRA,4,Moto Clube,Moto Clube,,,,,active,
BRA,4,Parnahyba,Parnahyba,,,,,active,
BRA,4,Sampaio Corrêa,Sampaio Corrêa,,,,,active,
BRA,4,Altos,Altos,,,,,active,
BRA,4,FC Atletico Cearense,FC Atletico Cearense,,,,,active,
BRA,4,Ferroviário,Ferroviário,,,,,active,
BRA,4,Fluminense,Fluminense,,,,,active,
BRA,4,Piauí,Piauí,,,,,active,
BRA,4,Tirol,Tirol,,,,,active,
BRA,4,ABC,ABC,,,,,active,
BRA,4,América FC SAF,América FC SAF,,,,,active,
BRA,4,Central de Caruarú,Central de Caruarú,,,,,active,
BRA,4,Laguna,Laguna,,,,,active,
BRA,4,Maguary,Maguary,,,,,active,
BRA,4,Sousa,Sousa,,,,,active,
BRA,4,Decisão,Decisão,,,,,active,
BRA,4,Lagarto,Lagarto,,,,,active,
BRA,4,Retrô,Retrô,,,,,active,
BRA,4,Sergipe,Sergipe,,,,,active,
BRA,4,Serra Branca EC,Serra Branca EC,,,,,active,
BRA,4,Treze,Treze,,,,,active,
BRA,4,Asa,Asa,,,,,active,
BRA,4,Atlético Alagoinhas,Atlético Alagoinhas,,,,,active,
BRA,4,CSA,CSA,,,,,active,
BRA,4,CSE,CSE,,,,,active,
BRA,4,Jacuipense,Jacuipense,,,,,active,
BRA,4,Juazeirense,Juazeirense,,,,,active,
BRA,4,Abecat,Abecat,,,,,active,
BRA,4,Betim,Betim,,,,,active,
BRA,4,Crac,Crac,,,,,active,
BRA,4,Ivinhema,Ivinhema,,,,,active,
BRA,4,Operário MS,Operário MS,,,,,active,
BRA,4,Uberlandia,Uberlandia,,,,,active,
BRA,4,FC Democrata,FC Democrata,,,,,active,
BRA,4,Porto SC,Porto SC,,,,,active,
BRA,4,Real Noroeste Capixaba,Real Noroeste Capixaba,,,,,active,
BRA,4,Rio Branco Ac,Rio Branco Ac,,,,,active,
BRA,4,Tombense,Tombense,,,,,active,
BRA,4,Vitória FC,Vitória FC,,,,,active,
BRA,4,Agua Santa,Agua Santa,,,,,active,
BRA,4,América,América,,,,,active,
BRA,4,Madureira,Madureira,,,,,active,
BRA,4,Portuguesa,Portuguesa,,,,,active,
BRA,4,Portuguesa SAF,Portuguesa SAF,,,,,active,
BRA,4,Pouso Alegre SAF,Pouso Alegre SAF,,,,,active,
BRA,4,Marica,Marica,,,,,active,
BRA,4,Noroeste,Noroeste,,,,,active,
BRA,4,Nova Iguaçu SAF,Nova Iguaçu SAF,,,,,active,
BRA,4,Sampaio Correa,Sampaio Correa,,,,,active,
BRA,4,Velo Clube,Velo Clube,,,,,active,
BRA,4,XV de Piracicaba,XV de Piracicaba,,,,,active,
BRA,4,Cascavel,Cascavel,,,,,active,
BRA,4,Guarany FC,Guarany FC,,,,,active,
BRA,4,Joinville,Joinville,,,,,active,
BRA,4,Leão do vale- Cianorte,Leão do vale- Cianorte,,,,,active,
BRA,4,Santa Catarina Clube,Santa Catarina Clube,,,,,active,
BRA,4,São Luiz,São Luiz,,,,,active,
BRA,4,Azuriz,Azuriz,,,,,active,
BRA,4,Blumenau,Blumenau,,,,,active,
BRA,4,Brasil de Pelotas,Brasil de Pelotas,,,,,active,
BRA,4,Marcilio dias,Marcilio dias,,,,,active,
BRA,4,São José,São José,,,,,active,
BRA,4,Sãojoseense,Sãojoseense,,,,,active,
