country_code,division_level,official_name,short_name,state,city,founded_year,badge_url,status,notes
FRA,2,Amiens SC,Amiens,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,AS Saint-Etienne,Saint-Etienne,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,US Boulogne,Boulogne,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Clermont Foot,Clermont Foot,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,USL Dunkerque,Dunkerque,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,En Avant Guingamp,Guingamp,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Annecy FC,Annecy,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Grenoble Foot 38,Grenoble,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Stade Lavallois,Laval,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Le Mans FC,Le Mans,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Montpellier HSC,Montpellier,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,AS Nancy Lorraine,Nancy,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Pau FC,Pau FC,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Red Star,Red Star,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Stade de Reims,Reims,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,Rodez Aveyron Football,Rodez,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,SC Bastia,Bastia,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,2,ESTAC Troyes,ESTAC,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
DEU,2,Holstein Kiel,Holstein Kiel,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,VfL Bochum,Bochum,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,SV Elversberg,Elversberg,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,SC Paderborn 07,Paderborn,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,1. FC Magdeburg,Magdeburg,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,Fortuna Dusseldorf,Fortuna Dusseldorf,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,1. FC Kaiserslautern,Kaiserslautern,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,Karlsruher SC,Karlsruhe,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,Hannover 96,Hannover 96,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,1. FC Nurnberg,Nurnberg,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,Hertha BSC,Hertha Berlin,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,SV Darmstadt 98,Darmstadt 98,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
DEU,2,SpVgg Greuther Furth,Greuther Furth,,,,,active,Fonte oficial 2. Bundesliga consultada em 2026-04-13
