country_code,division_level,official_name,short_name,state,city,founded_year,badge_url,status,notes
FRA,1,SCO Angers,Angers,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,AJ Auxerre,Auxerre,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,AS Monaco,Monaco,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,Stade Brestois,Brest,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,FC Lorient,Lorient,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,FC Metz,Metz,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,FC Nantes,Nantes,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,Havre AC,Le Havre,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,LOSC Lille,Lille,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,OGC Nice,Nice,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,Olympique Lyonnais,Lyon,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,Olympique de Marseille,Marseille,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,Paris FC,Paris FC,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,Paris Saint-Germain,PSG,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,RC Lens,Lens,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,Stade Rennais,Rennes,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,RC Strasbourg,Strasbourg,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
FRA,1,Toulouse FC,Toulouse,,,,,active,Fonte oficial Ligue 1/Ligue 2 consultada em 2026-04-13
DEU,1,FC Bayern Munchen,Bayern Munich,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,Bayer 04 Leverkusen,Leverkusen,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,Eintracht Frankfurt,Eintracht Frankfurt,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,Borussia Dortmund,Dortmund,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,TSG Hoffenheim,Hoffenheim,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,RB Leipzig,RB Leipzig,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,VfB Stuttgart,Stuttgart,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,SV Werder Bremen,Werder Bremen,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,Sport-Club Freiburg,Freiburg,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,Hamburger SV,Hamburg,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,1. FC Koln,Koln,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,Borussia Monchengladbach,Monchengladbach,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,VfL Wolfsburg,Wolfsburg,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,FC Augsburg,Augsburg,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,1. FSV Mainz 05,Mainz 05,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,1. FC Heidenheim 1846,Heidenheim,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,FC St. Pauli,St. Pauli,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
DEU,1,1. FC Union Berlin,Union Berlin,,,,,active,Fonte oficial Bundesliga consultada em 2026-04-13
ENG,1,AFC Bournemouth,Bournemouth,,,,,active,Fonte oficial Premier League consultada em 2026-04-13
ENG,1,Arsenal,Arsenal,,,,,active,Fonte oficial Premier League consultada em 2026-04-13
