country_code,division_level,official_name,short_name,state,city,founded_year,badge_url,status,notes
PRT,2,Academico de Viseu,Academico de Viseu,,Viseu,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Portimonense,Portimonense,,Portimao,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Maritimo,Maritimo,,Funchal,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Lusitania de Lourosa,Lusitania de Lourosa,,Lourosa,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Uniao de Leiria,Uniao de Leiria,,Leiria,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Pacos de Ferreira,Pacos de Ferreira,,Pacos de Ferreira,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Penafiel,Penafiel,,Penafiel,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Felgueiras,Felgueiras,,Felgueiras,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Vizela,Vizela,,Vizela,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Torreense,Torreense,,Torres Vedras,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Benfica B,Benfica B,,Seixal,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Porto B,Porto B,,Porto,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Sporting CP B,Sporting B,,Alcochete,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Chaves,Chaves,,Chaves,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Feirense,Feirense,,Santa Maria da Feira,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Leixoes,Leixoes,,Matosinhos,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Oliveirense,Oliveirense,,Oliveira de Azemeis,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
PRT,2,Mafra,Mafra,,Mafra,,,active,Base oficial Liga Portugal 2 2025-2026 com complemento inferido em 2026-04-13
ESP,2,AD Ceuta FC,Ceuta,,Ceuta,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Albacete Balompie,Albacete,,Albacete,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Almeria,Almeria,,Almeria,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Burgos CF,Burgos,,Burgos,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Cadiz CF,Cadiz,,Cadiz,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Castellon,Castellon,,Castellon de la Plana,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Cordoba CF,Cordoba,,Cordoba,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Cultural y Deportiva Leonesa,Cultural Leonesa,,Leon,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Deportivo de La Coruna,Deportivo,,La Coruna,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Granada CF,Granada,,Granada,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Huesca,Huesca,,Huesca,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Leganes,Leganes,,Leganes,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
ESP,2,Malaga CF,Malaga,,Malaga,,,active,Fonte: LALIGA HYPERMOTION 2025-2026 consultada em 2026-04-13
