country_code,division_level,official_name,short_name,state,city,founded_year,badge_url,status,notes
PRT,1,SL Benfica,Benfica,,Lisboa,1904,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Sporting CP,Sporting,,Lisboa,1906,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,FC Porto,Porto,,Porto,1893,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,SC Braga,Braga,,Braga,1921,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Vitoria SC,Vitoria SC,,Guimaraes,1922,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Famalicao,Famalicao,,Vila Nova de Famalicao,1931,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Gil Vicente,Gil Vicente,,Barcelos,1924,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Moreirense,Moreirense,,Moreira de Conegos,1938,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Rio Ave,Rio Ave,,Vila do Conde,1939,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Arouca,Arouca,,Arouca,1951,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Casa Pia,Casa Pia,,Lisboa,1920,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Estoril Praia,Estoril Praia,,Cascais,1939,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Estrela da Amadora,Estrela Amadora,,Amadora,2020,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,CD Nacional,Nacional,,Funchal,1910,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Santa Clara,Santa Clara,,Ponta Delgada,1921,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,FC Alverca,Alverca,,Alverca do Ribatejo,1939,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
PRT,1,Tondela,Tondela,,Tondela,1933,,active,Fonte base: Liga Portugal 2025-2026 e verificacao complementar em 2026-04-13
