country_code,division_level,official_name,short_name,state,city,founded_year,badge_url,status,notes
SAU,1,Al Ahli,Al Ahli,,Jeddah,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Ettifaq,Al Ettifaq,,Dammam,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Fateh,Al Fateh,,Al Ahsa,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Fayha,Al Fayha,,Al Majma'ah,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Hazem,Al Hazem,,Ar Rass,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Hilal,Al Hilal,,Riyadh,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Ittihad,Al Ittihad,,Jeddah,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Khaleej,Al Khaleej,,Dammam,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Kholood,Al Kholood,,Ar Rass,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Najmah,Al Najmah,,Buraydah,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Nassr,Al Nassr,,Riyadh,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Okhdood,Al Okhdood,,Najran,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Qadsiah,Al Qadsiah,,Dammam,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Riyadh,Al Riyadh,,Riyadh,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Shabab,Al Shabab,,Riyadh,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Al Taawoun,Al Taawoun,,Buraydah,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Damac,Damac,,Khamis Mushait,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
SAU,1,Neom,Neom,,Tabuk,,,active,Fonte oficial Saudi Pro League consultada em 2026-04-13
USA,1,Atlanta United,Atlanta United,,Atlanta,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Austin FC,Austin FC,,Austin,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Charlotte FC,Charlotte FC,,Charlotte,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Chicago Fire FC,Chicago Fire,,Chicago,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,FC Cincinnati,FC Cincinnati,,Cincinnati,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Colorado Rapids,Colorado Rapids,,Commerce City,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Columbus Crew,Columbus Crew,,Columbus,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,D.C. United,D.C. United,,Washington,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,FC Dallas,FC Dallas,,Frisco,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Houston Dynamo FC,Houston Dynamo,,Houston,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Sporting Kansas City,Sporting KC,,Kansas City,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,LA Galaxy,LA Galaxy,,Los Angeles,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Los Angeles Football Club,LAFC,,Los Angeles,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Inter Miami CF,Inter Miami,,Fort Lauderdale,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Minnesota United FC,Minnesota United,,Saint Paul,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Nashville SC,Nashville SC,,Nashville,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,New England Revolution,New England Revolution,,Foxborough,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Red Bull New York,New York Red Bulls,,Harrison,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,New York City Football Club,New York City FC,,New York City,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Orlando City,Orlando City,,Orlando,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Philadelphia Union,Philadelphia Union,,Chester,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Portland Timbers,Portland Timbers,,Portland,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Real Salt Lake,Real Salt Lake,,Sandy,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,San Diego Football Club,San Diego FC,,San Diego,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,San Jose Earthquakes,San Jose Earthquakes,,San Jose,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Seattle Sounders FC,Seattle Sounders,,Seattle,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,St. Louis CITY SC,St. Louis CITY SC,,St. Louis,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
USA,1,Toronto FC,Toronto FC,,Toronto,,,active,Fonte oficial MLS Clubs consultada em 2026-04-13
